group,subgroup,amount,period,month
Промышленность,целлюлозно-бумажное производство. Издательская деятельность,7118203,6,Июль
Промышленность,"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",5949757,6,Июль
Промышленность,издательская деятельность,9418938,6,Июль
Промышленность,полиграфическая деятельность и предоставление услуг в этой области,7785431,6,Июль
Промышленность,"производство кокса, нефтепродуктов и ядерных материалов",13701068,6,Июль
Промышленность,химическое производство,12086356,6,Июль
Промышленность,производство резиновых и пластмассовых изделий,7302757,6,Июль
Промышленность,производство прочих неметаллических минеральных продуктов,6781792,6,Июль
Промышленность,производство сборных железобетонных и бетонных конструкций и изделий,6726405,6,Июль
Промышленность,металлургическое производство и производство готовых металлических изделий,7934806,6,Июль
Промышленность,производство машин и оборудования,6518427,6,Июль
Промышленность,"производство электрооборудования, электронного и оптического оборудования",6567366,6,Июль
Промышленность,производство офисного оборудования и вычислительной техники,7974114,6,Июль
Промышленность,производство электрических машин и электрооборудования,6078034,6,Июль
Промышленность,"производство аппаратуры для радио, телевидения и связи",6482293,6,Июль
Промышленность,"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",7532939,6,Июль
Промышленность,производство транспортных средств и оборудования,7269154,6,Июль
Промышленность,"производство автомобилей, прицепов и полуприцепов",6931921,6,Июль
Промышленность,производство прочих транспортных средств,8790052,6,Июль
Промышленность,прочие отрасли промышленности,6260222,6,Июль
Промышленность,"производство мебели и прочей продукции, не включенной в другие группировки",5907099,6,Июль
Промышленность,обработка вторичного сырья,9076480,6,Июль
Промышленность,"производство и распределение электроэнергии, газа и воды",7750717,6,Июль
Промышленность,"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",6485439,6,Июль
Промышленность,теплоснабжение,5477436,6,Июль
Промышленность,"сбор, очистка и распределение воды",6259013,6,Июль
Строительство,Строительство,8187576,6,Июль
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",6808583,6,Июль
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",9059286,6,Июль
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",9285701,6,Июль
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",6100637,6,Июль
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",ремонт бытовых изделий и предметов личного пользования,4166292,6,Июль
Гостиницы и рестораны,Гостиницы и рестораны,5391395,6,Июль
Транспорт и связь,Транспорт и связь,7997906,6,Июль
Транспорт и связь,деятельность сухопутного транспорта,8035594,6,Июль
Транспорт и связь,деятельность железнодорожного транспорта,8818737,6,Июль
Транспорт и связь,деятельность прочего сухопутного транспорта,6990633,6,Июль
Транспорт и связь,деятельность водного транспорта,4799286,6,Июль
Транспорт и связь,деятельность воздушного транспорта,16896616,6,Июль
Транспорт и связь,"деятельность воздушного транспорта, не подчиняющегося расписанию",11179124,6,Июль
Транспорт и связь,вспомогательная и дополнительная транспортная деятельность,7085309,6,Июль
Транспорт и связь,прочая вспомогательная деятельность воздушного транспорта,9742577,6,Июль
Транспорт и связь,связь,8245926,6,Июль
Финансовая деятельность,Финансовая деятельность,12065062,6,Июль
Финансовая деятельность,финансовое посредничество,12507777,6,Июль
Финансовая деятельность,страхование,9142540,6,Июль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",10419995,6,Июль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",операции с недвижимым имуществом,5595731,6,Июль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",сдача в наем собственного недвижимого имущества,5450043,6,Июль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования,7144878,6,Июль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельность, связанная с вычислительной техникой",26360888,6,Июль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки,8880506,6,Июль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки в области естественных и технических наук,8968178,6,Июль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",деятельность по управлению холдинговыми компаниями,10987552,6,Июль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельностьв области архитектуры, инженерные услуги",10466602,6,Июль
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",топографо-геодезическая деятельность,9238746,6,Июль
Образование,Образование,4799904,6,Июль
Здравоохранение и предоставление социальных услуг,Здравоохранение и предоставление социальных услуг,5621721,6,Июль
Здравоохранение и предоставление социальных услуг,деятельность в области здравоохранения,5850720,6,Июль
Здравоохранение и предоставление социальных услуг,предоставление социальных услуг,4053788,6,Июль
"Предоставление коммунальных, социальных и персональных услуг","Предоставление коммунальных, социальных и персональных услуг",5425696,6,Июль
"Предоставление коммунальных, социальных и персональных услуг","деятельность по организации отдыха и развлечений, культуры и спорта",5340215,6,Июль
"Предоставление коммунальных, социальных и персональных услуг","деятельность, связанная с кино- и видеофильмами",5232574,6,Июль
"Предоставление коммунальных, социальных и персональных услуг",деятельность в области радиовещания и телевидения,10055028,6,Июль
Справочно: рабочие и служащие,Справочно: рабочие и служащие,7040791,6,Июль
Всего,Всего,6970521,7,Август
"Сельское хозяйство, охота и лесное хозяйство",Всего,5712402,7,Август
"Сельское хозяйство, охота и лесное хозяйство","сельское хозяйство, охота и предоставление услуг в этих областях",5721567,7,Август
"Сельское хозяйство, охота и лесное хозяйство",растениеводство,6405294,7,Август
"Сельское хозяйство, охота и лесное хозяйство",животноводство,5308580,7,Август
"Сельское хозяйство, охота и лесное хозяйство",лесное хозяйство и предоставление услуг в этой области,5632408,7,Август
"Рыболовство, рыбоводство","Рыболовство, рыбоводство",4518838,7,Август
Промышленность,Всего,7358924,7,Август
Промышленность,горнодобывающая промышленность,10503646,7,Август
Промышленность,добыча топливно-энергетических полезных ископаемых,12705576,7,Август
Промышленность,"добыча угля, лигнита и торфа",5415693,7,Август
Промышленность,"добыча полезных ископаемых, кроме топливно-энергетических",7971326,7,Август
Промышленность,обрабатывающая промышленность,7232078,7,Август
Промышленность,"производство пищевых продуктов, включая напитки, и табака",7190605,7,Август
Промышленность,текстильное и швейное производство,5004629,7,Август
Промышленность,"производство кожи, изделий из кожи и производство обуви",5089946,7,Август
Промышленность,обработка древесины и производство изделий из дерева,5754131,7,Август
Промышленность,целлюлозно-бумажное производство. Издательская деятельность,7033091,7,Август
Промышленность,"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",6012925,7,Август
Промышленность,издательская деятельность,9281315,7,Август
Промышленность,полиграфическая деятельность и предоставление услуг в этой области,7449319,7,Август
Промышленность,"производство кокса, нефтепродуктов и ядерных материалов",12490855,7,Август
Промышленность,химическое производство,12033377,7,Август
Промышленность,производство резиновых и пластмассовых изделий,7410370,7,Август
Промышленность,производство прочих неметаллических минеральных продуктов,6970510,7,Август
Промышленность,производство сборных железобетонных и бетонных конструкций и изделий,6894962,7,Август
Промышленность,металлургическое производство и производство готовых металлических изделий,7771409,7,Август
Промышленность,производство машин и оборудования,6676846,7,Август
Промышленность,"производство электрооборудования, электронного и оптического оборудования",6696429,7,Август
Промышленность,производство офисного оборудования и вычислительной техники,11744518,7,Август
Промышленность,производство электрических машин и электрооборудования,6304839,7,Август
Промышленность,"производство аппаратуры для радио, телевидения и связи",6579398,7,Август
Промышленность,"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",7467378,7,Август
Промышленность,производство транспортных средств и оборудования,7353272,7,Август
Промышленность,"производство автомобилей, прицепов и полуприцепов",7043912,7,Август
Промышленность,производство прочих транспортных средств,8726719,7,Август
Промышленность,прочие отрасли промышленности,6128919,7,Август
Промышленность,"производство мебели и прочей продукции, не включенной в другие группировки",5928695,7,Август
Промышленность,обработка вторичного сырья,7741155,7,Август
Промышленность,"производство и распределение электроэнергии, газа и воды",7736426,7,Август
Промышленность,"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",6458603,7,Август
Промышленность,теплоснабжение,5329242,7,Август
Промышленность,"сбор, очистка и распределение воды",6181174,7,Август
Строительство,Строительство,8344584,7,Август
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",Всего,6664005,7,Август
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",8840440,7,Август
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",8939012,7,Август
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",6007994,7,Август
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",ремонт бытовых изделий и предметов личного пользования,4086368,7,Август
Гостиницы и рестораны,Гостиницы и рестораны,5312955,7,Август
Транспорт и связь,Всего,7786186,7,Август
Транспорт и связь,деятельность сухопутного транспорта,7719789,7,Август
Транспорт и связь,деятельность железнодорожного транспорта,8076286,7,Август
Транспорт и связь,деятельность прочего сухопутного транспорта,7053872,7,Август
Транспорт и связь,деятельность водного транспорта,4813002,7,Август
Транспорт и связь,деятельность воздушного транспорта,15829210,7,Август
Транспорт и связь,"деятельность воздушного транспорта, не подчиняющегося расписанию",11523796,7,Август
Транспорт и связь,вспомогательная и дополнительная транспортная деятельность,7060157,7,Август
Транспорт и связь,прочая вспомогательная деятельность воздушного транспорта,9968584,7,Август
Транспорт и связь,связь,8264553,7,Август
Финансовая деятельность,Всего,10948574,7,Август
Финансовая деятельность,финансовое посредничество,11319584,7,Август
Финансовая деятельность,страхование,8493842,7,Август
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",Всего,10795364,7,Август
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",операции с недвижимым имуществом,5567746,7,Август
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",сдача в наем собственного недвижимого имущества,5536447,7,Август
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования,6054500,7,Август
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельность, связанная с вычислительной техникой",28461831,7,Август
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки,8520217,7,Август
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки в области естественных и технических наук,8619365,7,Август
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",деятельность по управлению холдинговыми компаниями,10943909,7,Август
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельностьв области архитектуры, инженерные услуги",11081769,7,Август
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",топографо-геодезическая деятельность,9205610,7,Август
Образование,Образование,4635928,7,Август
Здравоохранение и предоставление социальных услуг,Всего,5455345,7,Август
Здравоохранение и предоставление социальных услуг,деятельность в области здравоохранения,5668823,7,Август
Здравоохранение и предоставление социальных услуг,предоставление социальных услуг,4039757,7,Август
"Предоставлениекоммунальных, социальных и персональных услуг",Всего,5347285,7,Август
"Предоставлениекоммунальных, социальных и персональных услуг","деятельность по организации отдыха и развлечений, культуры и спорта",5262972,7,Август
"Предоставлениекоммунальных, социальных и персональных услуг","деятельность, связанная с кино- и видеофильмами",4209213,7,Август
"Предоставлениекоммунальных, социальных и персональных услуг",деятельность в области радиовещания и телевидения,9583210,7,Август
Справочно: рабочие и служащие,Справочно: рабочие и служащие,6988221,7,Август
Всего,Всего,6862950,8,Сентябрь
"Сельское хозяйство, охота и лесное хозяйство",Всего,5104769,8,Сентябрь
"Сельское хозяйство, охота и лесное хозяйство","сельское хозяйство, охота и предоставление услуг в этих областях",5016040,8,Сентябрь
"Сельское хозяйство, охота и лесное хозяйство",растениеводство,5155536,8,Сентябрь
"Сельское хозяйство, охота и лесное хозяйство",животноводство,4883096,8,Сентябрь
"Сельское хозяйство, охота и лесное хозяйство",лесное хозяйство и предоставление услуг в этой области,5869495,8,Сентябрь
"Рыболовство, рыбоводство","Рыболовство, рыбоводство",4698067,8,Сентябрь
Промышленность,Всего,7387212,8,Сентябрь
Промышленность,горнодобывающая промышленность,10006994,8,Сентябрь
Промышленность,добыча топливно-энергетических полезных ископаемых,11765597,8,Сентябрь
Промышленность,"добыча угля, лигнита и торфа",5851994,8,Сентябрь
Промышленность,"добыча полезных ископаемых, кроме топливно-энергетических",7984763,8,Сентябрь
Промышленность,обрабатывающая промышленность,7304602,8,Сентябрь
Промышленность,"производство пищевых продуктов, включая напитки, и табака",7087955,8,Сентябрь
Промышленность,текстильное и швейное производство,5090859,8,Сентябрь
Промышленность,"производство кожи, изделий из кожи и производство обуви",5279551,8,Сентябрь
Промышленность,обработка древесины и производство изделий из дерева,5881935,8,Сентябрь
Промышленность,целлюлозно-бумажное производство. Издательская деятельность,7081614,8,Сентябрь
Промышленность,"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",5997519,8,Сентябрь
Промышленность,издательская деятельность,9290928,8,Сентябрь
Промышленность,полиграфическая деятельность и предоставление услуг в этой области,7672884,8,Сентябрь
Промышленность,"производство кокса, нефтепродуктов и ядерных материалов",12394061,8,Сентябрь
Промышленность,химическое производство,11696426,8,Сентябрь
Промышленность,производство резиновых и пластмассовых изделий,7215202,8,Сентябрь
Промышленность,производство прочих неметаллических минеральных продуктов,6691383,8,Сентябрь
Промышленность,производство сборных железобетонных и бетонных конструкций и изделий,6720968,8,Сентябрь
Промышленность,металлургическое производство и производство готовых металлических изделий,7677909,8,Сентябрь
Промышленность,производство машин и оборудования,7063707,8,Сентябрь
Промышленность,"производство электрооборудования, электронного и оптического оборудования",7091430,8,Сентябрь
Промышленность,производство офисного оборудования и вычислительной техники,8124338,8,Сентябрь
Промышленность,производство электрических машин и электрооборудования,6589070,8,Сентябрь
Промышленность,"производство аппаратуры для радио, телевидения и связи",7567682,8,Сентябрь
Промышленность,"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",7736133,8,Сентябрь
Промышленность,производство транспортных средств и оборудования,7775977,8,Сентябрь
Промышленность,"производство автомобилей, прицепов и полуприцепов",7554066,8,Сентябрь
Промышленность,производство прочих транспортных средств,8767860,8,Сентябрь
Промышленность,прочие отрасли промышленности,6400466,8,Сентябрь
Промышленность,"производство мебели и прочей продукции, не включенной в другие группировки",6175946,8,Сентябрь
Промышленность,обработка вторичного сырья,8187396,8,Сентябрь
Промышленность,"производство и распределение электроэнергии, газа и воды",7553578,8,Сентябрь
Промышленность,"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",6317786,8,Сентябрь
Промышленность,теплоснабжение,5252995,8,Сентябрь
Промышленность,"сбор, очистка и распределение воды",6206429,8,Сентябрь
Строительство,Строительство,8338895,8,Сентябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",Всего,6549081,8,Сентябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",8365550,8,Сентябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",8982159,8,Сентябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",5888881,8,Сентябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",ремонт бытовых изделий и предметов личного пользования,4356690,8,Сентябрь
Гостиницы и рестораны,Гостиницы и рестораны,5060916,8,Сентябрь
Транспорт и связь,Всего,7661944,8,Сентябрь
Транспорт и связь,деятельность сухопутного транспорта,7636624,8,Сентябрь
Транспорт и связь,деятельность железнодорожного транспорта,7711859,8,Сентябрь
Транспорт и связь,деятельность прочего сухопутного транспорта,6843222,8,Сентябрь
Транспорт и связь,деятельность водного транспорта,4672209,8,Сентябрь
Транспорт и связь,деятельность воздушного транспорта,15330602,8,Сентябрь
Транспорт и связь,"деятельность воздушного транспорта, не подчиняющегося расписанию",10822865,8,Сентябрь
Транспорт и связь,вспомогательная и дополнительная транспортная деятельность,6942670,8,Сентябрь
Транспорт и связь,прочая вспомогательная деятельность воздушного транспорта,10138844,8,Сентябрь
Транспорт и связь,связь,8011242,8,Сентябрь
Финансовая деятельность,Всего,10457528,8,Сентябрь
Финансовая деятельность,финансовое посредничество,10736075,8,Сентябрь
Финансовая деятельность,страхование,8574554,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",Всего,10767112,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",операции с недвижимым имуществом,5590755,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",сдача в наем собственного недвижимого имущества,5457540,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования,5875622,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельность, связанная с вычислительной техникой",27659262,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки,9315250,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",научные исследования и разработки в области естественных и технических наук,9421550,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",деятельность по управлению холдинговыми компаниями,10612185,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям","деятельностьв области архитектуры, инженерные услуги",10468809,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",топографо-геодезическая деятельность,9112482,8,Сентябрь
Образование,Образование,4810063,8,Сентябрь
Здравоохранение и предоставление социальных услуг,Всего,5442301,8,Сентябрь
Здравоохранение и предоставление социальных услуг,деятельность в области здравоохранения,5657846,8,Сентябрь
Здравоохранение и предоставление социальных услуг,предоставление социальных услуг,4000890,8,Сентябрь
"Предоставление коммунальных, социальных и персональных услуг",Всего,5461349,8,Сентябрь
"Предоставление коммунальных, социальных и персональных услуг","деятельность по организации отдыха и развлечений, культуры и спорта",5429803,8,Сентябрь
"Предоставление коммунальных, социальных и персональных услуг","деятельность, связанная с кино- и видеофильмами",4251105,8,Сентябрь
"Предоставление коммунальных, социальных и персональных услуг",деятельность в области радиовещания и телевидения,9642721,8,Сентябрь
Справочно: рабочие и служащие,Справочно: рабочие и служащие,6898757,8,Сентябрь
Всего,Всего,6837568,9,Октябрь
"Сельское хозяйство, охота и лесное хозяйство",Всего,4912972,9,Октябрь
"Сельское хозяйство, охота и лесное хозяйство","сельское хозяйство, охота и предоставление услуг в этих областях",4817713,9,Октябрь
"Сельское хозяйство, охота и лесное хозяйство",растениеводство,4788098,9,Октябрь
"Сельское хозяйство, охота и лесное хозяйство",животноводство,4759189,9,Октябрь
"Сельское хозяйство, охота и лесное хозяйство",лесное хозяйство и предоставление услуг в этой области,5724199,9,Октябрь
"Рыболовство, рыбоводство","Рыболовство, рыбоводство",5277261,9,Октябрь
Промышленность,Всего,7325437,9,Октябрь
Промышленность,горнодобывающая промышленность,9952036,9,Октябрь
